time,range_0,range_90,range_180,range_270,range_360,
1750669080.54371,inf,inf,0.794250011444092,0.501999974250793,,
1750669081.07647,inf,inf,0.797249972820282,0.503000020980835,,
1750669081.56577,inf,inf,0.799000024795532,0.507499992847443,,
1750669082.14312,inf,inf,0.794250011444092,0.501999974250793,,
1750669082.72022,inf,inf,0.795750021934509,0.502499997615814,,
1750669083.29763,inf,inf,0.796500027179718,0.503499984741211,,
1750669083.87528,inf,inf,0.791249990463257,0.501500010490418,,
1750669084.45252,inf,inf,0.79449999332428,0.501500010490418,,
1750669085.02992,inf,inf,0.79449999332428,0.501999974250793,,
1750669085.60723,inf,inf,0.795499980449677,0.502499997615814,,
1750669086.18477,inf,inf,0.797749996185303,0.504999995231628,,
1750669086.67393,inf,inf,0.797999978065491,0.502749979496002,,
1750669087.25151,inf,inf,0.793749988079071,0.50475001335144,,
1750669087.82866,inf,inf,0.796999990940094,0.502250015735626,,
1750669088.40572,inf,inf,0.797749996185303,0.503000020980835,,
1750669088.9388,inf,inf,0.795499980449677,0.502250015735626,,
1750669089.47311,inf,inf,0.797249972820282,0.503750026226044,,
1750669090.05009,inf,inf,0.798749983310699,0.505500018596649,,
1750669090.45,inf,inf,0.794250011444092,0.502250015735626,,
1750669091.02723,inf,inf,0.796999990940094,0.503000020980835,,
1750669091.60461,inf,inf,0.792999982833862,0.502250015735626,,
1750669092.13819,inf,inf,0.797249972820282,0.503000020980835,,
1750669092.71481,inf,inf,0.794000029563904,0.504499971866608,,
1750669093.29209,inf,inf,0.796249985694885,0.502250015735626,,
1750669093.82588,inf,inf,0.797749996185303,0.503250002861023,,
1750669094.40328,inf,inf,0.798500001430512,0.504999995231628,,
1750669094.93593,inf,inf,0.79925000667572,0.50475001335144,,
1750669095.51362,inf,inf,0.795000016689301,0.501749992370606,,
1750669096.091,inf,inf,0.79449999332428,0.501999974250793,,
1750669096.66848,inf,inf,0.791999995708466,0.501999974250793,,
1750669097.24591,inf,inf,0.797500014305115,0.503750026226044,,
1750669097.82291,inf,inf,0.794250011444092,0.501999974250793,,
1750669098.22275,inf,inf,0.791999995708466,0.502250015735626,,
1750669098.66725,inf,inf,0.789749979972839,0.502749979496002,,
1750669099.11194,inf,inf,0.791499972343445,0.501999974250793,,
1750669099.51247,inf,inf,0.797999978065491,0.502749979496002,,
1750669100,inf,inf,0.79449999332428,0.502250015735626,,
1750669100.48873,inf,inf,0.79449999332428,0.502499997615814,,
1750669101.06646,inf,inf,0.794250011444092,0.501999974250793,,
1750669101.64369,inf,inf,0.795000016689301,0.502250015735626,,
1750669102.22104,inf,inf,0.791249990463257,0.50125002861023,,
1750669102.79847,inf,inf,0.79925000667572,0.505249977111816,,
1750669103.37578,inf,inf,0.796999990940094,0.502749979496002,,
1750669103.95322,1.50349998474121,inf,0.793749988079071,0.50475001335144,,
1750669104.48688,inf,inf,0.79925000667572,0.503499984741211,,
1750669105.02008,inf,inf,0.793749988079071,0.501999974250793,,
1750669105.55265,inf,inf,0.795499980449677,0.501999974250793,,
1750669106.13016,inf,inf,0.793500006198883,0.50125002861023,,
1750669106.70721,inf,inf,0.79925000667572,0.502499997615814,,
1750669107.24154,inf,inf,0.793250024318695,0.502499997615814,,
1750669107.77372,inf,inf,0.798749983310699,0.503499984741211,,
1750669108.35146,inf,inf,0.797249972820282,0.50475001335144,,
1750669108.79576,inf,inf,0.79925000667572,0.503250002861023,,
1750669109.32842,inf,inf,0.793749988079071,0.501999974250793,,
1750669109.90614,inf,inf,0.792750000953674,0.504499971866608,,
1750669110.48305,inf,inf,0.793749988079071,0.502499997615814,,
